名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
望新社区卫生运营服务站,医疗保健,综合医院,121.149664,31.345345,上海市,上海市,嘉定区,121.14508646279566,31.34719997960077
上海新宝精细化工厂,公司企业,其他,121.150766,31.343791,上海市,上海市,嘉定区,121.146190608634,31.345648402727445
上海延盟汽车零部件有限责任公司,公司企业,公司,121.154113,31.337861,上海市,上海市,嘉定区,121.1495443702166,31.339726325114516
上海龙翊展示用品设计有限责任公司,公司企业,公司,121.15356,31.346569,上海市,上海市,嘉定区,121.14898957224906,31.348430315711706
旭园,商务住宅,其他,121.139536,31.345681,上海市,上海市,嘉定区,121.13494125438866,31.347519643597252
上海望心谷生态农业发展有限责任公司,公司企业,公司,121.150789,31.343269,上海市,上海市,嘉定区,121.14621369596736,31.34512662324664
沃弘永泰君悦铝合金门窗经销部,购物消费,家居建材,121.149474,31.346854,上海市,上海市,嘉定区,121.14489598804191,31.34870813793313
上海万路达交通科技集团有限责任公司,公司企业,公司,121.153246,31.346595,上海市,上海市,嘉定区,121.14867497821479,31.348455753485684
上海剑宁金属制品有限责任公司,公司企业,公司,121.149839,31.344868,上海市,上海市,嘉定区,121.14526182182856,31.346723442234946
上海台丰实业发展有限责任公司,公司企业,公司,121.151183,31.343312,上海市,上海市,嘉定区,121.14660841742423,31.34517028785302
桃花源,餐饮美食,其他,121.134018,31.357354,上海市,上海市,嘉定区,121.12941407430522,31.35918088873174
古塘,交通设施,公交站,121.119714,31.362724,上海市,上海市,嘉定区,121.11509341154809,31.364533141128383
钱门,交通设施,公交站,121.135073,31.362022,上海市,上海市,嘉定区,121.13047015743214,31.36384879013532
钱门天主堂,旅游景点,宗教,121.127696,31.359462,上海市,上海市,嘉定区,121.1230837772824,31.361280306447707
各类海鲜店,餐饮美食,中国菜,121.132127,31.365002,上海市,上海市,嘉定区,121.12751983689579,31.366823910223914
本帮菜,餐饮美食,中国菜,121.132201,31.365005,上海市,上海市,嘉定区,121.12759393508448,31.36682700456767
山东水饺,餐饮美食,中国菜,121.131962,31.365238,上海市,上海市,嘉定区,121.12735459758733,31.36705962247453
钱宝饭店,餐饮美食,中国菜,121.132161,31.365014,上海市,上海市,嘉定区,121.12755388106461,31.366835950137006
宜路工业紧固系统有限责任公司,公司企业,公司,121.116158,31.36444,上海市,上海市,嘉定区,121.11153451522411,31.366245711450777
电动车专卖电动车精修,购物消费,其他,121.132273,31.364899,上海市,上海市,嘉定区,121.1276660402493,31.366721131532017
上海为农综合运营服务站,购物消费,其他,121.119162,31.360825,上海市,上海市,嘉定区,121.11454111421854,31.36263428156109
永尚电动车,汽车相关,其他,121.132268,31.364893,上海市,上海市,嘉定区,121.12766103409952,31.366715127005833
上海颖网电气,购物消费,家居建材,121.132033,31.365129,上海市,上海市,嘉定区,121.12742570109353,31.366950748579846
上海银财彩钢,购物消费,家居建材,121.132103,31.365154,上海市,上海市,嘉定区,121.12749579182035,31.366975830505762
上海言石电子科技有限责任公司,公司企业,公司,121.116526,31.365136,上海市,上海市,嘉定区,121.11190271338904,31.36694176305678
上海楚峰机电有限责任公司,公司企业,公司,121.124521,31.362024,上海市,上海市,嘉定区,121.11990503506406,31.363837985371987
嘉定再生能源公司,公司企业,公司,121.127646,31.355411,上海市,上海市,嘉定区,121.12303407042236,31.357230587284324
高新技术企业,公司企业,公司,121.117783,31.362949,上海市,上海市,嘉定区,121.11316083194306,31.364756448167086
上海杞恒电气有限责任公司,公司企业,公司,121.116437,31.365159,上海市,上海市,嘉定区,121.11181364828519,31.36696468857087
春齐机械设备有限责任公司,公司企业,公司,121.116921,31.364777,上海市,上海市,嘉定区,121.11229802888325,31.366583179886902
上海振兴化工二厂有限责任公司,公司企业,公司,121.133104,31.363947,上海市,上海市,嘉定区,121.12849824330002,31.36577052126591
老魏卷帘门厂加工场,公司企业,工厂,121.131173,31.364327,上海市,上海市,嘉定区,121.12656464328403,31.366147913353796
敬辛实业,公司企业,公司,121.116966,31.364152,上海市,上海市,嘉定区,121.11234311602195,31.365958415878772
上海一核阀门股份有限责任公司,公司企业,工厂,121.116098,31.363422,上海市,上海市,嘉定区,121.11147456209332,31.365227995508388
农业生产资料公司,公司企业,公司,121.132248,31.36493,上海市,上海市,嘉定区,121.1276410042172,31.366752089294817
上海鹏澜动物保健品有限责任公司,公司企业,公司,121.119578,31.362237,上海市,上海市,嘉定区,121.1149573387487,31.36404618050571
上海跃昕环保科技有限责任公司,公司企业,公司,121.130181,31.361405,上海市,上海市,嘉定区,121.1255716287382,31.363225626623063
上海惠和蔬果农艺有限责任公司,公司企业,公司,121.116072,31.358032,上海市,上海市,嘉定区,121.11144901248792,31.359839735949027
上海封周五金配件厂,公司企业,公司,121.11815,31.364574,上海市,上海市,嘉定区,121.11352797486006,31.366381220743165
上海天冈电器科技有限责任公司,公司企业,公司,121.116401,31.365134,上海市,上海市,嘉定区,121.1117776250319,31.366939669546795
再生能源利用中心,公司企业,公司,121.128161,31.35541,上海市,上海市,嘉定区,121.12354967669239,31.35723018316785
上海泉泾农机专业农业合作社,公司企业,农林牧渔,121.12102,31.362476,上海市,上海市,嘉定区,121.11640057828147,31.364286394730648
斯瑞佛公司,公司企业,公司,121.130885,31.36399,上海市,上海市,嘉定区,121.1262763007729,31.365810660863193
兆鹤上海模具有限责任公司,公司企业,公司,121.12394,31.362184,上海市,上海市,嘉定区,121.1193234196979,31.36399733236397
上海瑞耀空调设备公司,公司企业,公司,121.124283,31.36165,上海市,上海市,嘉定区,121.11966681952917,31.36346385938077
上海庆良电子有限责任公司,公司企业,公司,121.117965,31.362772,上海市,上海市,嘉定区,121.11334298748828,31.36457965228686
上海圣远包装有限责任公司,公司企业,公司,121.11753,31.365394,上海市,上海市,嘉定区,121.11290742702963,31.367200457943333
上海深化实业有限责任公司,公司企业,公司,121.117718,31.364317,上海市,上海市,嘉定区,121.11309566336108,31.366123954141635
恩玛机械公司,公司企业,公司,121.116318,31.365495,上海市,上海市,嘉定区,121.1116945352552,31.3673004914657
上海斯瑞佛汽车部件有限责任公司,公司企业,公司,121.131228,31.364224,上海市,上海市,嘉定区,121.12661972354702,31.36604501580294
上海科频再生能源有限责任公司,公司企业,其他,121.128026,31.361561,上海市,上海市,嘉定区,121.12341398303198,31.363379001796694
