OBJECTID,osm_id,code,fclass,name,Shape_Leng,Shape_Area
9659,871712756,7202,park,,0.00250818358459,3.46349096806e-07
9660,871722895,7202,park,济阳公园,0.0103941520325,2.53152732988e-06
9661,871722896,7202,park,,0.00823095660522,7.70261092579e-07
9671,871752877,7202,park,,0.00953414509476,2.44647797787e-06
9672,871752888,7202,park,,0.0127656360549,6.63702983936e-06
9678,871755231,7202,park,,0.00481037972372,1.26430346972e-06
9679,871755232,7202,park,,0.00327186181013,4.62139294228e-07
9680,871755234,7202,park,,0.00665510616498,1.71585459186e-06
9681,871755235,7202,park,,0.0116206890829,3.2059607772e-06
9682,871755238,7202,park,,0.00396886895622,7.74640225159e-07
9693,872249827,7202,park,,0.0228280239495,4.75843191639e-06
9694,872249828,7202,park,,0.0112528671048,3.11847028488e-06
9697,872249848,7202,park,,0.00180061586487,1.39403850515e-07
9700,872249856,7202,park,,0.0208229326854,4.2941462485e-06
9701,872249857,7202,park,,0.0211468867589,3.91980509335e-06
9702,872249858,7202,park,,0.00330009235466,4.52798547602e-07
9703,872249859,7202,park,,0.00833492047724,1.70278364968e-06
9704,872249860,7202,park,,0.00531343613675,7.52258882489e-07
9705,872249861,7202,park,,0.00517843660122,5.98567111497e-07
9706,872249862,7202,park,,0.00660328478638,1.02776239681e-06
9707,872249863,7202,park,,0.00666040207932,7.26922115219e-07
9708,872249864,7202,park,,0.00538057655593,5.05131589424e-07
9709,872249865,7202,park,,0.00431316181781,4.25934584193e-07
9710,872249866,7202,park,,0.0102390659266,1.27937118429e-06
9711,872251656,7202,park,,0.00545352701274,1.67863842725e-06
9714,872251659,7202,park,,0.00164802141172,1.58397081015e-07
9717,872255254,7202,park,,0.0174925788041,1.26192240732e-05
9718,872255257,7202,park,,0.00702989870101,3.21667532404e-06
9719,872255258,7202,park,,0.00892183770602,4.77407481988e-06
9721,872260670,7202,park,,0.00319845363947,6.13665251862e-07
9724,872260674,7202,park,,0.00756369139116,1.70936384685e-06
9747,872312594,7202,park,,0.00214072714234,9.5001304079e-08
9749,872312596,7202,park,,0.00914693456411,3.72504825425e-06
9764,872318668,7202,park,,0.0140117938775,2.60126766097e-06
9765,872318672,7202,park,,0.00839156491164,3.41870803817e-06
9766,872318675,7202,park,,0.00914154409159,3.21168205048e-06
9767,872318677,7202,park,,0.00615719249908,2.07041624297e-06
9799,879198327,7202,park,,0.00142744573844,1.19455228911e-07
9800,881271985,7202,park,老港公园,0.00944980471408,3.16734014953e-06
9802,881272065,7202,park,上海桃博园,0.0225674122529,2.73591098561e-05
9835,884067527,7202,park,,0.0119256586811,7.65462788856e-06
9840,886168085,7202,park,,0.00626567348542,2.19952818176e-06
9841,886168086,7202,park,,0.0116411636885,5.75987219551e-06
9842,886168088,7202,park,,0.0707790667525,3.15581409071e-05
9843,886182978,7202,park,,0.10923611438,6.19112053115e-05
9844,886205535,7202,park,,0.0583008207575,2.99860405593e-05
9845,886205538,7202,park,,0.0246372598742,4.89574474832e-06
9846,886205540,7202,park,,0.00370382880231,5.60450330995e-07
9847,886205562,7202,park,,0.0867124057958,5.22260125537e-05
9848,886205565,7202,park,,0.00681528911925,1.69441464823e-06
9849,886212672,7202,park,,0.0134204306163,1.81972096147e-06
