名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs,category_group
申江南路坦仁路,交通设施,公交站,121.646028,31.057298,上海市,上海市,浦东新区,121.64180037144082,31.05956208612798,Transport
男洗手间,生活服务,公厕,121.635379,31.05714,上海市,上海市,浦东新区,121.6311676482554,31.059420613630337,Toilet
坦直风湿门诊,医疗保健,诊所,121.645139,31.066776,上海市,上海市,浦东新区,121.6409120567615,31.0690360891276,Medical_Service
卫生院,医疗保健,诊所,121.640951,31.05824,上海市,上海市,浦东新区,121.63673142405057,31.060511714401787,Medical_Service
鹤沙航城,交通设施,地铁,121.611222,31.077812,上海市,上海市,浦东新区,121.60703162161418,31.080105359209984,Transport
鹤雷路航昌路,交通设施,公交站,121.609722,31.077109,上海市,上海市,浦东新区,121.60553228811162,31.079403581221573,Transport
王楼村委,交通设施,公交站,121.618199,31.069182,上海市,上海市,浦东新区,121.61400517882296,31.071475310794646,Transport
航昌路鹤波路,交通设施,公交站,121.6096,31.074322,上海市,上海市,浦东新区,121.60541056219633,31.0766182363362,Transport
下盐公路航春路,交通设施,公交站,121.611219,31.068531,上海市,上海市,浦东新区,121.60702938596457,31.070829673703575,Transport
兴楼路下盐公路,交通设施,公交站,121.621033,31.068246,上海市,上海市,浦东新区,121.61683697414558,31.07053729557899,Transport
鹤沙航城地铁站,交通设施,公交站,121.610087,31.077319,上海市,上海市,浦东新区,121.6058971322432,31.079613270038376,Transport
公厕,生活服务,公厕,121.617247,31.068219,上海市,上海市,浦东新区,121.61305394925822,31.070513654725247,Toilet
公厕,生活服务,公厕,121.614321,31.082331,上海市,上海市,浦东新区,121.61012866952188,31.08461980439473,Toilet
男洗手间,生活服务,公厕,121.611131,31.078198,上海市,上海市,浦东新区,121.6069406297364,31.080491191445244,Toilet
鹤沙航城地铁站4号口,交通设施,地铁,121.610999,31.078308,上海市,上海市,浦东新区,121.6068086778428,31.08060120412602,Transport
鹤沙航城地铁站3号口,交通设施,地铁,121.611275,31.077299,上海市,上海市,浦东新区,121.60708464040668,31.07959262123772,Transport
鹤沙航城地铁站2号口,交通设施,地铁,121.611543,31.077214,上海市,上海市,浦东新区,121.6073525271646,31.079507512931176,Transport
鹤沙航城地铁站1号口,交通设施,地铁,121.611346,31.078255,上海市,上海市,浦东新区,121.6071555302616,31.080548034611745,Transport
周祝公路水门村,交通设施,公交站,121.631828,31.104193,上海市,上海市,浦东新区,121.62761746121132,31.10645167385934,Transport
陆瓦路申江南路,交通设施,公交站,121.64554,31.097121,上海市,上海市,浦东新区,121.6413098878196,31.099363176519034,Transport
申江南路陆北路,交通设施,公交站,121.645265,31.092777,上海市,上海市,浦东新区,121.64103570037923,31.095022073869615,Transport
申江南路产业路,交通设施,公交站,121.644825,31.093293,上海市,上海市,浦东新区,121.64059637928054,31.095538506486573,Transport
申江南路蓝靛路,交通设施,公交站,121.644113,31.096655,上海市,上海市,浦东新区,121.63988525932048,31.098899777445627,Transport
周祝公路康新公路,交通设施,公交站,121.630538,31.104239,上海市,上海市,浦东新区,121.62632906014318,31.10649931046985,Transport
周祝公路申江南路,交通设施,公交站,121.640989,31.10469,上海市,上海市,浦东新区,121.63676552913144,31.106935247147167,Transport
申江南路陆北路,交通设施,公交站,121.645323,31.092806,上海市,上海市,浦东新区,121.6410936025312,31.09505096188057,Transport
申江南路产业路,交通设施,公交站,121.644819,31.09325,上海市,上海市,浦东新区,121.64059039264512,31.095495540542885,Transport
卫生院,医疗保健,诊所,121.633333,31.102401,上海市,上海市,浦东新区,121.62912066898818,31.10465867222176,Medical_Service
申江路周邓公路,交通设施,公交站,121.637079,31.120415,上海市,上海市,浦东新区,121.63286003876662,31.12265743584197,Transport
周祝公路申江路,交通设施,公交站,121.64324,31.107102,上海市,上海市,浦东新区,121.63901279878029,31.10934234837839,Transport
申江南路周邓公路,交通设施,公交站,121.637045,31.119177,上海市,上海市,浦东新区,121.63282618968526,31.121420164984404,Transport
周邓公路满天星路,交通设施,公交站,121.630359,31.119544,上海市,上海市,浦东新区,121.62614901508248,31.121796066321085,Transport
周邓公路周浦花海,交通设施,公交站,121.646633,31.12049,上海市,上海市,浦东新区,121.64239913504088,31.12271738354981,Transport
周邓公路申江南路,交通设施,公交站,121.635702,31.120035,上海市,上海市,浦东新区,121.63148501102268,31.12227962336881,Transport
周祝公路申江南路,交通设施,公交站,121.643176,31.107128,上海市,上海市,浦东新区,121.63894889879084,31.10936843660444,Transport
周邓公路申江南路,交通设施,公交站,121.63573,31.119852,上海市,上海市,浦东新区,121.63151298724893,31.12209668408967,Transport
公厕,生活服务,公厕,121.62971,31.118352,上海市,上海市,浦东新区,121.62550089436316,31.120605534871466,Toilet
公厕,生活服务,公厕,121.637101,31.121681,上海市,上海市,浦东新区,121.63288190266482,31.12392270969891,Toilet
公厕,生活服务,公厕,121.648067,31.117073,上海市,上海市,浦东新区,121.64383099244483,31.119299838147093,Toilet
周浦镇界浜村卫生院,医疗保健,诊所,121.64867,31.112683,上海市,上海市,浦东新区,121.64443332334132,31.11491123010861,Medical_Service
卫生院,医疗保健,诊所,121.637455,31.121952,上海市,上海市,浦东新区,121.63323537193176,31.124193044115884,Medical_Service
公厕,生活服务,公厕,121.63987,31.112551,上海市,上海市,浦东新区,121.6356475852461,31.11479360536778,Toilet
康新路周邓路,交通设施,公交站,121.619384,31.119277,上海市,上海市,浦东新区,121.61518514039044,31.121541104678123,Transport
广丹路天雄路,交通设施,公交站,121.612826,31.105274,上海市,上海市,浦东新区,121.60863259783392,31.10755089296213,Transport
望春花路红曲路,交通设施,公交站,121.61905,31.110883,上海市,上海市,浦东新区,121.6148520956498,31.11315203161214,Transport
周邓公路天牛路,交通设施,公交站,121.614845,31.117262,上海市,上海市,浦东新区,121.61064948459055,31.1195308779166,Transport
周邓公路经一路,交通设施,公交站,121.624897,31.119186,上海市,上海市,浦东新区,121.62069314471772,31.12144469060304,Transport
周祝公路天牛路,交通设施,公交站,121.614865,31.117297,上海市,上海市,浦东新区,121.61066946965084,31.1195658442241,Transport
康新公路周邓公路,交通设施,公交站,121.620465,31.115737,上海市,上海市,浦东新区,121.61626554738584,31.11800206669704,Transport
康新公路望江南路,交通设施,公交站,121.624174,31.110221,上海市,上海市,浦东新区,121.6199716083248,31.112485415584462,Transport
周邓公路康新公路,交通设施,公交站,121.61855,31.11804,上海市,上海市,浦东新区,121.61435189185984,31.120305516092863,Transport
公厕,生活服务,公厕,121.628476,31.119098,上海市,上海市,浦东新区,121.62426827680416,31.12135263549314,Toilet
公厕,生活服务,公厕,121.616311,31.120988,上海市,上海市,浦东新区,121.61211424762811,31.12325373253529,Toilet
公厕,生活服务,公厕,121.624472,31.118917,上海市,上海市,浦东新区,121.62026859517908,31.12117629737518,Toilet
公厕,生活服务,公厕,121.620884,31.117907,上海市,上海市,浦东新区,121.61668401272992,31.12017047803433,Toilet
复旦大学附属肿瘤医院浦东院区东区门诊,医疗保健,综合医院,121.62022,31.113916,上海市,上海市,浦东新区,121.61602090217896,31.116182298827724,Medical_Service
上海太平康复医院,医疗保健,综合医院,121.626447,31.113167,上海市,上海市,浦东新区,121.62224202117712,31.11542728213899,Medical_Service
复旦大学附属肿瘤医院浦东院区东区住院部,医疗保健,综合医院,121.619508,31.113914,上海市,上海市,浦东新区,121.61530948329744,31.116180947862723,Medical_Service
国家儿童医学中心张江院区,医疗保健,综合医院,121.614203,31.112651,上海市,上海市,浦东新区,121.6100082420253,31.11492287694551,Medical_Service
怡园村卫生院,医疗保健,诊所,121.617535,31.118168,上海市,上海市,浦东新区,121.61333763243178,31.12043430108456,Medical_Service
乐邠堂,医疗保健,诊所,121.616591,31.117259,上海市,上海市,浦东新区,121.6123943666359,31.119526562010574,Medical_Service
复旦大学附属肿瘤医院浦东院区东区,医疗保健,综合医院,121.61971,31.113844,上海市,上海市,浦东新区,121.61551132636752,31.11611080458701,Medical_Service
六灶卢氏伤科,医疗保健,诊所,121.616506,31.117238,上海市,上海市,浦东新区,121.61230942585888,31.119505640416712,Medical_Service
牌楼20组,交通设施,公交站,121.555803,31.052108,上海市,上海市,浦东新区,121.551563207185,31.05438108377525,Transport
牌楼村委,交通设施,公交站,121.559311,31.053058,上海市,上海市,浦东新区,121.5550788712052,31.055336714168355,Transport
牌楼3组,交通设施,公交站,121.562423,31.051597,上海市,上海市,浦东新区,121.55819739092246,31.053881630369585,Transport
