名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs,category_group
医疗急救中心,医疗保健,急救中心,121.471435,31.236882,上海市,上海市,黄浦区,121.46690406917504,31.23882819785172,Medical_Service
第一百货商业广场-男洗手间,生活服务,公厕,121.47433,31.235905,上海市,上海市,黄浦区,121.46980852597538,31.23785953522694,Toilet
第一百货商业广场-无障碍洗手间,生活服务,公厕,121.474463,31.236005,上海市,上海市,黄浦区,121.46994195318382,31.237959855932235,Toilet
第一百货商业广场-无障碍洗手间,生活服务,公厕,121.474419,31.235939,上海市,上海市,黄浦区,121.46989781463054,31.23789376493856,Toilet
无障碍洗手间,生活服务,公厕,121.474835,31.235852,上海市,上海市,黄浦区,121.47031518758868,31.237807953977136,Toilet
无障碍洗手间,生活服务,公厕,121.474575,31.235902,上海市,上海市,黄浦区,121.47005432936297,31.23785721242329,Toilet
无障碍洗手间,生活服务,公厕,121.474601,31.235867,上海市,上海市,黄浦区,121.47008041768731,31.237822300321803,Toilet
无障碍洗手间,生活服务,公厕,121.474601,31.235912,上海市,上海市,黄浦区,121.47008041382176,31.237867279613607,Toilet
无障碍洗手间,生活服务,公厕,121.474478,31.235919,上海市,上海市,黄浦区,121.46995700974976,31.23787393688417,Toilet
母婴室,生活服务,公厕,121.474562,31.235846,上海市,上海市,黄浦区,121.4700412915209,31.23780120230352,Toilet
公厕,生活服务,公厕,121.477142,31.235842,上海市,上海市,黄浦区,121.4726298365392,31.237804393157287,Toilet
世纪广场,交通设施,公交站,121.478141,31.235844,上海市,上海市,黄浦区,121.47363218614824,31.23780920994673,Transport
母婴室,生活服务,公厕,121.478103,31.235613,上海市,上海市,黄浦区,121.47359407814308,31.237578208772963,Toilet
女洗手间,生活服务,公厕,121.472574,31.242997,上海市,上海市,静安区,121.46804620465424,31.244943488639567,Toilet
曲阜路地铁站5号口,交通设施,地铁,121.472609,31.242686,上海市,上海市,静安区,121.46808134446172,31.24463272487736,Transport
九江路山东中路,交通设施,公交站,121.483446,31.236169,上海市,上海市,黄浦区,121.47895528783172,31.238149303583743,Transport
公厕,生活服务,公厕,121.48315,31.2366,上海市,上海市,黄浦区,121.47865822559504,31.238579243667274,Toilet
悦荟mosaic-无障碍洗手间,生活服务,公厕,121.483361,31.236718,上海市,上海市,黄浦区,121.47886994624592,31.238697803628423,Toilet
悦荟mosaic-多功能洗手间,生活服务,公厕,121.483141,31.236621,上海市,上海市,黄浦区,121.47864919264468,31.238600207833823,Toilet
母婴室,生活服务,公厕,121.483688,31.236513,上海市,上海市,黄浦区,121.47919809777268,31.23849385087082,Toilet
母婴室,生活服务,公厕,121.483586,31.236548,上海市,上海市,黄浦区,121.47909574086636,31.23852853734968,Toilet
母婴室,生活服务,公厕,121.483575,31.236609,上海市,上海市,黄浦区,121.47908469748872,31.238589477249047,Toilet
母婴室,生活服务,公厕,121.483619,31.236634,上海市,上海市,黄浦区,121.47912884798696,31.23861459404275,Toilet
母婴室,生活服务,公厕,121.483684,31.236575,上海市,上海市,黄浦区,121.47919407858402,31.23855581070977,Toilet
南JD路地铁站1号口,交通设施,地铁,121.482745,31.236857,上海市,上海市,黄浦区,121.47825180310748,31.238834948468305,Transport
无障碍洗手间,生活服务,公厕,121.483825,31.236742,上海市,上海市,黄浦区,121.4793355537965,31.23872314536094,Toilet
河南中路南京东路,交通设施,公交站,121.485333,31.236312,上海市,上海市,黄浦区,121.4808488458653,31.23829775895917,Transport
雷氏汉光中医馆,医疗保健,诊所,121.48513,31.235788,上海市,上海市,黄浦区,121.48064518117468,31.23777340389179,Medical_Service
上海雷氏汉光中医门诊部,医疗保健,诊所,121.485261,31.235681,上海市,上海市,黄浦区,121.48077664811458,31.237666837786573,Medical_Service
外滩街道社区卫生中心汉光社区卫生服务站,医疗保健,综合医院,121.485246,31.235842,上海市,上海市,黄浦区,121.48076158191236,31.237827719622526,Medical_Service
南京东路,交通设施,地铁,121.484662,31.238124,上海市,上海市,黄浦区,121.48017534801812,31.240106958812067,Transport
天津路河南中路,交通设施,公交站,121.483828,31.238353,上海市,上海市,黄浦区,121.47933842633353,31.24033341523384,Transport
南京路步行街东侧,交通设施,公交站,121.48485,31.238014,上海市,上海市,黄浦区,121.48036401314684,31.23999756017892,Transport
南JD路地铁站7号口,交通设施,地铁,121.484909,31.238205,上海市,上海市,黄浦区,121.4804232027039,31.24018864567943,Transport
无障碍洗手间,生活服务,公厕,121.484145,31.238098,上海市,上海市,黄浦区,121.47965654990524,31.2400794578935,Toilet
母婴室,生活服务,公厕,121.484239,31.238156,上海市,上海市,黄浦区,121.47975087195732,31.240137706125243,Toilet
女洗手间,生活服务,公厕,121.484318,31.238168,上海市,上海市,黄浦区,121.47983014587298,31.24014993166824,Toilet
女洗手间,生活服务,公厕,121.484013,31.238083,上海市,上海市,黄浦区,121.47952409221791,31.24006407906964,Toilet
无障碍洗手间,生活服务,公厕,121.484308,31.238156,上海市,上海市,黄浦区,121.47982011209145,31.240137907915084,Toilet
女洗手间,生活服务,公厕,121.484393,31.238175,上海市,上海市,黄浦区,121.47990540638816,31.24015714787853,Toilet
无障碍洗手间,生活服务,公厕,121.484307,31.238071,上海市,上海市,黄浦区,121.47981911588434,31.24005294393037,Toilet
男洗手间,生活服务,公厕,121.484333,31.23822,上海市,上海市,黄浦区,121.47984519363888,31.24020195172741,Toilet
女洗手间,生活服务,公厕,121.484071,31.238023,上海市,上海市,黄浦区,121.47958229898688,31.240004276004385,Toilet
