POPID,pop_loc,population,Elderly_pe,accessibility_score,Lon,Lat,geometry_type,x,y,geometry_coordinates
65,"121.539812,31.304042",407.27884,0.16627,0.3432048132199286,121.539812,31.304042,Point,121.539812,31.304042,"[121.539812, 31.304042]"
66,"121.54071,31.304042",259.02045,0.16627,0.44119739934062485,121.54071,31.304042,Point,121.54071,31.304042,"[121.54071, 31.304042]"
67,"121.541609,31.304042",553.4364,0.16627,0.4877710215721066,121.541609,31.304042,Point,121.541609,31.304042,"[121.541609, 31.304042]"
68,"121.542507,31.304042",577.17517,0.16627,0.41478308619265236,121.542507,31.304042,Point,121.542507,31.304042,"[121.542507, 31.304042]"
69,"121.543405,31.304042",493.95566,0.16627,0.1291675257398429,121.543405,31.304042,Point,121.543405,31.304042,"[121.543405, 31.304042]"
70,"121.521846,31.303144",166.69792,0.16627,1.693086324550394,121.521846,31.303144,Point,121.521846,31.303144,"[121.521846, 31.303144]"
71,"121.522744,31.303144",101.13705,0.16627,1.2614964948934793,121.522744,31.303144,Point,121.522744,31.303144,"[121.522744, 31.303144]"
72,"121.523642,31.303144",74.129951,0.16627,1.0142208787323812,121.523642,31.303144,Point,121.523642,31.303144,"[121.523642, 31.303144]"
73,"121.524541,31.303144",67.199554,0.16627,2.7217816117829527,121.524541,31.303144,Point,121.524541,31.303144,"[121.524541, 31.303144]"
74,"121.525439,31.303144",83.303825,0.16627,2.156986149600131,121.525439,31.303144,Point,121.525439,31.303144,"[121.525439, 31.303144]"
75,"121.526337,31.303144",110.7225,0.16627,2.2957040128320956,121.526337,31.303144,Point,121.526337,31.303144,"[121.526337, 31.303144]"
76,"121.527236,31.303144",147.10846,0.16627,3.423468532681731,121.527236,31.303144,Point,121.527236,31.303144,"[121.527236, 31.303144]"
77,"121.528134,31.303144",193.8232,0.16627,3.8695240416017382,121.528134,31.303144,Point,121.528134,31.303144,"[121.528134, 31.303144]"
78,"121.529032,31.303144",104.74015,0.16627,3.3527626041717795,121.529032,31.303144,Point,121.529032,31.303144,"[121.529032, 31.303144]"
79,"121.529931,31.303144",166.00659,0.16627,0.39599357625888826,121.529931,31.303144,Point,121.529931,31.303144,"[121.529931, 31.303144]"
80,"121.530829,31.303144",237.20776,0.16627,2.6113924568484714,121.530829,31.303144,Point,121.530829,31.303144,"[121.530829, 31.303144]"
81,"121.531727,31.303144",207.68111,0.16627,1.9698913968375051,121.531727,31.303144,Point,121.531727,31.303144,"[121.531727, 31.303144]"
82,"121.532626,31.303144",303.13522,0.16627,1.3136331581345928,121.532626,31.303144,Point,121.532626,31.303144,"[121.532626, 31.303144]"
83,"121.533524,31.303144",298.78241,0.16627,0.9477440166831371,121.533524,31.303144,Point,121.533524,31.303144,"[121.533524, 31.303144]"
84,"121.534422,31.303144",284.30655,0.16627,0.5239130912029368,121.534422,31.303144,Point,121.534422,31.303144,"[121.534422, 31.303144]"
85,"121.535321,31.303144",192.41901,0.16627,0.3298681828206401,121.535321,31.303144,Point,121.535321,31.303144,"[121.535321, 31.303144]"
86,"121.536219,31.303144",187.50238,0.16627,0.20180934368314504,121.536219,31.303144,Point,121.536219,31.303144,"[121.536219, 31.303144]"
87,"121.537117,31.303144",197.57669,0.16627,0.12417655519543142,121.537117,31.303144,Point,121.537117,31.303144,"[121.537117, 31.303144]"
88,"121.538016,31.303144",410.21024,0.16627,0.16936339133721023,121.538016,31.303144,Point,121.538016,31.303144,"[121.538016, 31.303144]"
89,"121.538914,31.303144",395.09952,0.16627,0.2568125906704942,121.538914,31.303144,Point,121.538914,31.303144,"[121.538914, 31.303144]"
90,"121.539812,31.303144",441.15134,0.16627,0.37312280071108017,121.539812,31.303144,Point,121.539812,31.303144,"[121.539812, 31.303144]"
91,"121.54071,31.303144",416.8486,0.16627,0.44406912821844013,121.54071,31.303144,Point,121.54071,31.303144,"[121.54071, 31.303144]"
92,"121.541609,31.303144",695.26392,0.16627,0.388720601250604,121.541609,31.303144,Point,121.541609,31.303144,"[121.541609, 31.303144]"
