名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
建明烟糖,购物消费,便利店,121.887519,31.005786,上海市,上海市,浦东新区,121.88341968665438,31.008116546806175
党英汽配店,汽车相关,汽车配件,121.886467,31.005772,上海市,上海市,浦东新区,121.88236652303193,31.00810190360565
平衡态立体健康空间,医疗保健,其他,121.88811,31.00665,上海市,上海市,浦东新区,121.88401124849533,31.008980381163905
滨海衡玉烟糖铺,购物消费,便利店,121.888509,31.005463,上海市,上海市,浦东新区,121.88441076284414,31.007794311281323
源萍烟糖铺,购物消费,便利店,121.886792,31.005815,上海市,上海市,浦东新区,121.88269188473741,31.00814508404775
黄金海滨度假村专用停车场,交通设施,停车场,121.893764,31.006375,上海市,上海市,浦东新区,121.88967049360534,31.008708143484316
悦海国际,商务住宅,住宅区,121.891219,31.004908,上海市,上海市,浦东新区,121.88712344912012,31.00724100622082
上海春菊仓储有限责任公司,公司企业,公司,121.886364,31.005811,上海市,上海市,浦东新区,121.88226340311603,31.008140814338347
老港滨海老年人照料中心,生活服务,其他,121.887768,31.007218,上海市,上海市,浦东新区,121.8836688383734,31.00954784546916
惠羽五金建材经销部,购物消费,家居建材,121.888473,31.005434,上海市,上海市,浦东新区,121.8843747278174,31.0077653083377
公牛全屋照明店,购物消费,家居建材,121.889797,31.005652,上海市,上海市,浦东新区,121.88570004555629,31.007983885526507
乐海五金配件机械配件,购物消费,家居建材,121.889722,31.005633,上海市,上海市,浦东新区,121.88562497363272,31.007964858671997
上海城投,公司企业,公司,121.888867,31.029664,上海市,上海市,浦东新区,121.88476716058443,31.03198121531005
上海岚町木业有限责任公司,公司企业,公司,121.890822,30.979839,上海市,上海市,浦东新区,121.88672812292874,30.98218674352651
老港再生能源中心,公司企业,公司,121.913465,31.03997,上海市,上海市,浦东新区,121.90937455986813,31.042281631020874
忠明五金配件电料纯水,购物消费,家居建材,121.88947,31.005705,上海市,上海市,浦东新区,121.88537271898899,31.008036686198704
源才便利超市,购物消费,便利店,121.889622,31.005615,上海市,上海市,浦东新区,121.88552487672895,31.00794681816095
